iata_code;city;name;latitude_deg;longitude_deg;elevation_ft
ABE;Allentown, PA;Lehigh Valley International Airport;40.651773;-75.442797;393
ABI;Abilene, TX;Abilene Regional Airport;32.4113006592;-99.6819000244;1791
ABL;Ambler, AK;Ambler Airport;67.107043;-157.854308;334
ABR;Aberdeen, SD;Aberdeen Regional Airport;45.4491004944;-98.4217987061;1302
ABY;Albany, GA;Southwest Georgia Regional Airport;31.532946;-84.196215;197
ACK;Nantucket, MA;Nantucket Memorial Airport;41.25310135;-70.06020355;47
ACT;Waco, TX;Waco Regional Airport;31.6112995148;-97.2304992676;516
ACY;Atlantic City, NJ;Atlantic City International Airport;39.4575996399;-74.5772018433;75
ADK;Adak, AK;Adak Airport;51.883564;-176.642783;18
ADQ;Kodiak, AK;Kodiak Airport;57.75;-152.4940033;78
AEX;Alexandria, LA;Alexandria International Airport;31.3274;-92.549797;89
AGC;Pittsburgh, PA;Allegheny County Airport;40.3544006348;-79.9301986694;1252
AHN;Athens, GA;Athens Ben Epps Airport;33.948600769;-83.3263015747;808
AIN;Wainwright, AK;Wainwright Airport;70.6380004883;-159.994995117;41
AKC;Akron, OH;Akron Executive Airport;41.037498;-81.466904;1067
AKN;King Salmon, AK;King Salmon Airport;58.677845;-156.651965;73
AKP;Anaktuvuk Pass, AK;Anaktuvuk Pass Airport;68.13359833;-151.7429962;2102
ALB;Albany, NY;Albany International Airport;42.748298645;-73.8016967773;285
ALI;Alice, TX;Alice International Airport;27.7409000397;-98.0269012451;178
ALM;Alamogordo, NM;Alamogordo White Sands Regional Airport;32.8399009705;-105.990997314;4200
ALN;Alton/St Louis, IL;St Louis Regional Airport;38.8903007507;-90.0459976196;544
ALO;Waterloo, IA;Waterloo Regional Airport;42.5570983887;-92.4002990723;873
ALS;Alamosa, CO;San Luis Valley Regional Airport/Bergman Field;37.434898;-105.866997;7539
ALW;Walla Walla, WA;Walla Walla Regional Airport;46.09489822;-118.288002;1194
ANB;Anniston, AL;Anniston Regional Airport;33.5882;-85.8581;612
AND;Anderson, SC;Anderson Regional Airport;34.4945983887;-82.7093963623;782
ANI;Aniak, AK;Aniak Airport;61.5816001892;-159.5429992676;88
ANN;Metlakatla, AK;Annette Island Airport;55.037026;-131.572695;119
ANV;Anvik, AK;Anvik Airport;62.646702;-160.190994;291
AOO;Altoona, PA;Altoona Blair County Airport;40.29639816;-78.31999969;1503
APA;Denver, CO;Centennial Airport;39.57009888;-104.848999;5885
APF;Naples, FL;Naples Municipal Airport;26.1525993347;-81.7752990723;8
APG;Aberdeen Proving Grounds(Aberdeen), MD;Phillips Army Air Field;39.466202;-76.1688;57
APN;Alpena, MI;Alpena County Regional Airport;45.0780983;-83.56030273;690
ARA;New Iberia, LA;Acadiana Regional Airport;30.0378;-91.883904;24
ARC;Arctic Village, AK;Arctic Village Airport;68.1147;-145.578995;2092
ART;Watertown, NY;Watertown International Airport;43.9919013977;-76.021697998;325
ASE;Aspen, CO;Aspen-Pitkin Co/Sardy Field;39.22320175;-106.8690033;7820
AST;Astoria, OR;Astoria Regional Airport;46.158000946;-123.878997803;15
ATK;Atqasuk, AK;Atqasuk Edward Burnell Sr Memorial Airport;70.46704;-157.436013;96
ATY;Watertown, SD;Watertown Regional Airport;44.91400146;-97.15470123;1749
AUG;Augusta, ME;Augusta State Airport;44.3205986023;-69.7973022461;352
AUW;Wausau, WI;Wausau Downtown Airport;44.9262008667;-89.6266021729;1201
AVL;Asheville, NC;Asheville Regional Airport;35.436199;-82.541801;2165
AVP;Wilkes-Barre/Scranton, PA;Wilkes Barre Scranton International Airport;41.3385009766;-75.7233963013;962
AXN;Alexandria, MN;Chandler Field;45.8662986755;-95.3946990967;1425
AZA;Mesa, AZ;Phoenix–Mesa Gateway Airport;33.3078;-111.654999;1382
AZO;Kalamazoo, MI;Kalamazoo Battle Creek International Airport;42.2349014282;-85.5521011353;874
BAF;Westfield/Springfield, MA;Westfield-Barnes Regional Airport;42.157799;-72.715599;271
BBD;Brady, TX;Curtis Field;31.1793003082;-99.3238983154;1827
BCE;Bryce Canyon, UT;Bryce Canyon Airport;37.706401825;-112.144996643;7590
BDE;Baudette, MN;Baudette International Airport;48.7284011841;-94.612197876;1086
BDR;Bridgeport, CT;Igor I Sikorsky Memorial Airport;41.1635017395;-73.1261978149;9
BED;Bedford, MA;Laurence G Hanscom Field;42.47000122;-71.28900146;133
BET;Bethel, AK;Bethel Airport;60.77980042;-161.8379974;126
BFD;Bradford, PA;Bradford Regional Airport;41.8031005859;-78.6400985718;2143
BFF;Scottsbluff, NE;Western Neb. Rgnl/William B. Heilig Airport;41.87400055;-103.5960007;3967
BFI;Seattle, WA;Boeing Field King County International Airport;47.529999;-122.302002;21
BFK;Aurora, CO;Buckley Space Force Base;39.701698;-104.751999;5662
BFL;Bakersfield, CA;Meadows Field;35.433601;-119.056999;510
BFM;Mobile, AL;Mobile Downtown Airport;30.6268005371;-88.0680999756;26
BFP;Beaver Falls, PA;Beaver County Airport;40.7724990845;-80.3914031982;1253
BGM;Binghamton, NY;Greater Binghamton/Edwin A Link field;42.20869827;-75.97979736;1636
BHB;Bar Harbor, ME;Hancock County-Bar Harbor Airport;44.45000076;-68.3615036;83
BIF;Fort Bliss/El Paso, TX;Biggs Army Air Field (Fort Bliss);31.84950066;-106.3799973;3946
BIG;Delta Junction Ft Greely, AK;Allen Army Airfield;63.9944992065;-145.722000122;1291
BIH;Bishop, CA;Eastern Sierra Regional Airport;37.3731002808;-118.363998413;4124
BIS;Bismarck, ND;Bismarck Municipal Airport;46.7727012634;-100.7460021973;1661
BIX;Biloxi, MS;Keesler Air Force Base;30.4104003906;-88.9244003296;33
BJC;Denver, CO;Rocky Mountain Metropolitan Airport;39.90879822;-105.1169968;5673
BJI;Bemidji, MN;Bemidji Regional Airport;47.50939941;-94.93370056;1391
BKC;Buckland, AK;Buckland Airport;65.981598;-161.149002;31
BKE;Baker City, OR;Baker City Municipal Airport;44.8372993469;-117.808998108;3373
BKH;Kekaha, HI;Barking Sands Airport;22.0228004456;-159.785003662;23
BKL;Cleveland, OH;Burke Lakefront Airport;41.5175018311;-81.6832962036;583
BKW;Beckley, WV;Raleigh County Memorial Airport;37.7873001099;-81.1241989136;2504
BLF;Bluefield, WV;Mercer County Airport;37.2957992554;-81.2077026367;2857
BLH;Blythe, CA;Blythe Airport;33.6192016602;-114.717002869;399
BLI;Bellingham, WA;Bellingham International Airport;48.7928009033;-122.5380020142;170
BMG;Bloomington, IN;Monroe County Airport;39.1459999084;-86.6166992188;846
BNO;Burns, OR;Burns Municipal Airport;43.5918998718;-118.955001831;4148
BPI;Big Piney, WY;Miley Memorial Field;42.58509827;-110.1110001;6990
BPT;Beaumont/Port Arthur, TX;Jack Brooks Regional Airport;29.9508;-94.020699;15
BQK;Brunswick, GA;Brunswick Golden Isles Airport;31.2588005066;-81.4664993286;26
BRD;Brainerd, MN;Brainerd Lakes Regional Airport;46.39830017;-94.13809967;1232
BRL;Burlington, IA;Southeast Iowa Regional Airport;40.7831993103;-91.12550354;698
BRO;Brownsville, TX;Brownsville South Padre Island International Airport;25.9067993164;-97.4259033203;22
BRW;Utqiaġvik, AK;Wiley Post Will Rogers Memorial Airport;71.285402;-156.766008;44
BSF;Waimea (Kamuela), HI;Bradshaw Army Airfield;19.760099;-155.554001;6190
BTI;Barter Island, AK;Barter Island Long Range Radar Station Airport;70.134003;-143.582001;2
BTL;Battle Creek, MI;Battle Creek Executive Airport at Kellogg Field;42.307301;-85.251503;952
BTM;Butte, MT;Bert Mooney Airport;45.9547996521;-112.497001648;5550
BTR;Baton Rouge, LA;Baton Rouge Metropolitan Airport;30.533199;-91.149597;70
BTT;Bettles, AK;Bettles Airport;66.91390228;-151.529007;647
BTV;Burlington, VT;Burlington International Airport;44.4719009399;-73.1532974243;335
BUR;Burbank, CA;Bob Hope Airport;34.197703;-118.356378;778
BVY;Beverly / Danvers, MA;Beverly Regional Airport;42.584202;-70.916496;107
BWG;Bowling Green, KY;Bowling Green Warren County Regional Airport;36.9645004272;-86.4197006226;547
BYH;Blytheville, AR;Arkansas International Airport;35.9642982483;-89.9440002441;254
BYI;Burley, ID;Burley Municipal Airport;42.5425987244;-113.772003174;4150
BYS;Fort Irwin/Barstow, CA;Bicycle Lake Army Air Field;35.2804985046;-116.629997253;2350
BZN;Bozeman, MT;Gallatin Field;45.77750015;-111.1529999;4473
CAK;Akron, OH;Akron Canton Regional Airport;40.9160995483;-81.442199707;1228
CAR;Caribou, ME;Caribou Municipal Airport;46.8714981079;-68.0178985596;626
CCY;Charles City, IA;Northeast Iowa Regional Airport;43.0726013184;-92.6108016968;1125
CDB;Cold Bay, AK;Cold Bay Airport;55.2061004639;-162.7250061035;96
CDC;Cedar City, UT;Cedar City Regional Airport;37.7010002136;-113.0989990234;5622
CDR;Chadron, NE;Chadron Municipal Airport;42.837600708;-103.095001221;3297
CDS;Childress, TX;Childress Municipal Airport;34.4337997437;-100.288002014;1954
CDV;Cordova, AK;Merle K (Mudhole) Smith Airport;60.491798;-145.477997;54
CEC;Crescent City, CA;Jack Mc Namara Field Airport;41.78020096;-124.2369995;61
CEF;Springfield/Chicopee, MA;Westover ARB/Metropolitan Airport;42.19400024;-72.53479767;241
CEW;Crestview, FL;Bob Sikes Airport;30.778799057;-86.522102356;213
CGF;Cleveland, OH;Cuyahoga County Airport;41.5651016235;-81.4863967896;879
CGI;Cape Girardeau, MO;Cape Girardeau Regional Airport;37.2253;-89.570801;342
CHO;Charlottesville, VA;Charlottesville Albemarle Airport;38.1385993958;-78.4529037476;639
CIU;Sault Ste Marie, MI;Chippewa County International Airport;46.2508010864;-84.4723968506;800
CKB;Clarksburg, WV;North Central West Virginia Airport;39.2966003418;-80.2281036377;1217
CLD;Carlsbad, CA;McClellan-Palomar Airport;33.1283;-117.279999;331
CLL;College Station, TX;Easterwood Field;30.58860016;-96.36380005;320
CLM;Port Angeles, WA;William R Fairchild International Airport;48.1202011108;-123.5;291
CLU;Columbus, IN;Columbus Municipal Airport;39.2619018555;-85.8963012695;656
CMI;Champaign/Urbana, IL;University of Illinois Willard Airport;40.03919983;-88.27809906;755
CMX;Hancock, MI;Houghton County Memorial Airport;47.1683998108;-88.4890975952;1095
CNM;Carlsbad, NM;Cavern City Air Terminal;32.3375015259;-104.2630004883;3295
CNU;Chanute, KS;Chanute Martin Johnson Airport;37.668173;-95.486727;1002
COD;Cody, WY;Yellowstone Regional Airport;44.520198822;-109.024002075;5102
COE;Coeur d'Alene, ID;Coeur D'Alene - Pappy Boyington Field;47.77429962;-116.8199997;2320
COF;Cocoa Beach, FL;Patrick Air Force Base;28.2348995209;-80.6100997925;8
CON;Concord, NH;Concord Municipal Airport;43.20270157;-71.50229645;342
COU;Columbia, MO;Columbia Regional Airport;38.8181;-92.219597;889
CPF;Hazard, KY;Wendell H Ford Airport;37.386666;-83.261666;1256
CPR;Casper, WY;Casper-Natrona County International Airport;42.908001;-106.463997;5350
CRE;North Myrtle Beach, SC;Grand Strand Airport;33.8116989136;-78.7238998413;32
CRG;Jacksonville, FL;Jacksonville Executive at Craig Airport;30.3362998962;-81.5143966675;41
CSG;Columbus, GA;Columbus Metropolitan Airport;32.5163002014;-84.9389038086;397
CSV;Crossville, TN;Crossville Memorial Whitson Field;35.9513015747;-85.0849990845;1881
CTB;Cut Bank, MT;Cut Bank International Airport;48.6083984375;-112.375999451;3854
CUB;Columbia, SC;Jim Hamilton L.B. Owens Airport;33.970500946;-80.9952011108;193
CVO;Corvallis, OR;Corvallis Municipal Airport;44.49720001;-123.2900009;250
CVS;Clovis, NM;Cannon Air Force Base;34.382801;-103.321999;4295
CWA;Mosinee, WI;Central Wisconsin Airport;44.7775993347;-89.6668014526;1277
CXO;Houston, TX;Conroe-North Houston Regional Airport;30.351801;-95.414497;245
CYS;Cheyenne, WY;Cheyenne Regional Jerry Olson Field;41.15570068;-104.8119965;6159
CZF;Cape Romanzof, AK;Cape Romanzof LRRS Airport;61.78030014;-166.0390015;464
DAA;Fort Belvoir, VA;Davison Army Air Field;38.7150001526;-77.1809997559;73
DAB;Daytona Beach, FL;Daytona Beach International Airport;29.179899;-81.058098;34
DAG;Daggett, CA;Barstow Daggett Airport;34.85369873;-116.7870026;1930
DAN;Danville, VA;Danville Regional Airport;36.5728988647;-79.3360977173;571
DBQ;Dubuque, IA;Dubuque Regional Airport;42.402;-90.709503;1077
DDC;Dodge City, KS;Dodge City Regional Airport;37.7634010315;-99.9655990601;2594
DEC;Decatur, IL;Decatur Airport;39.8345985413;-88.8656997681;682
DET;Detroit, MI;Coleman A. Young Municipal Airport;42.40919876;-83.00990295;626
DHN;Dothan, AL;Dothan Regional Airport;31.3213005066;-85.4496002197;401
DHT;Dalhart, TX;Dalhart Municipal Airport;36.0225982666;-102.54699707;3991
DIK;Dickinson, ND;Dickinson Theodore Roosevelt Regional Airport;46.7974014282;-102.802001953;2592
DLG;Dillingham, AK;Dillingham Airport;59.04470062;-158.5050049;81
DLS;Dallesport / The Dalles, OR;Columbia Gorge Regional Airport;45.620979;-121.170777;247
DMA;Tucson, AZ;Davis Monthan Air Force Base;32.1665000916;-110.883003235;2704
DMN;Deming, NM;Deming Municipal Airport;32.262298584;-107.721000671;4314
DNL;Augusta, GA;Daniel Field;33.4664993286;-82.0393981934;423
DPA;Chicago/West Chicago, IL;Dupage Airport;41.90779877;-88.24859619;759
DRA;Mercury, NV;Desert Rock Airport;36.6194;-116.032997;3314
DRG;Deering, AK;Deering Airport;66.069603;-162.766006;21
DRI;DeRidder, LA;Beauregard Regional Airport;30.831699;-93.339897;202
DRT;Del Rio, TX;Del Rio International Airport;29.3742008209;-100.927001953;1002
DSM;Des Moines, IA;Des Moines International Airport;41.534;-93.663101;958
DUG;Douglas Bisbee, AZ;Bisbee Douglas International Airport;31.4689998627;-109.603996277;4154
DUJ;Dubois, PA;DuBois Regional Airport;41.17829895;-78.8986969;1817
DUT;Unalaska, AK;Tom Madsen (Dutch Harbor) Airport;53.89881;-166.544996;22
EAT;Wenatchee, WA;Pangborn Memorial Airport;47.3988990784;-120.207000732;1249
EAU;Eau Claire, WI;Chippewa Valley Regional Airport;44.8657989502;-91.4842987061;913
ECG;Elizabeth City, NC;Elizabeth City Regional Airport & Coast Guard Air Station;36.260601;-76.174599;11
EDF;Anchorage, AK;Elmendorf Air Force Base;61.2509994507;-149.8070068359;212
EED;Needles, CA;Needles Airport;34.7663002014;-114.623001099;983
EEN;Keene, NH;Dillant Hopkins Airport;42.898399;-72.270798;488
EFD;Houston, TX;Ellington Airport;29.6072998047;-95.1587982178;32
EGE;Eagle, CO;Eagle County Regional Airport;39.64260101;-106.9179993;6548
EGI;Crestview, FL;Duke Field;30.65040016;-86.52290344;191
EGX;Egegik, AK;Egegik Airport;58.184386;-157.374873;92
EHM;Cape Newenham, AK;Cape Newenham LRRS Airport;58.6464004517;-162.06300354;541
EIL;Fairbanks, AK;Eielson Air Force Base;64.66570282;-147.102005;547
EKA;Eureka, CA;Murray Field;40.8033981323;-124.112998962;7
EKN;Elkins, WV;Elkins-Randolph Co-Jennings Randolph Field;38.88940048;-79.85710144;1987
EKO;Elko, NV;Elko Regional Airport;40.8249015808;-115.7919998169;5140
ELD;El Dorado, AR;South Arkansas Regional At Goodwin Field;33.2210006714;-92.8133010864;277
ELM;Elmira/Corning, NY;Elmira Corning Regional Airport;42.1599006653;-76.8916015625;954
ELP;El Paso, TX;El Paso International Airport;31.80719948;-106.3779984;3959
ELY;Ely, NV;Ely Airport Yelland Field;39.29970169;-114.8420029;6259
EMK;Emmonak, AK;Emmonak Airport;62.78609848;-164.4909973;13
ENA;Kenai, AK;Kenai Municipal Airport;60.5731010437;-151.2449951172;99
ENN;Nenana, AK;Nenana Municipal Airport;64.5473022461;-149.074005127;362
ENV;Wendover, UT;Wendover Airport;40.7187004089;-114.03099823;4237
ENW;Kenosha, WI;Kenosha Regional Airport;42.59569931;-87.92780304;742
ESF;Alexandria, LA;Esler Regional Airport;31.3948993683;-92.2957992554;112
EUG;Eugene, OR;Mahlon Sweet Field;44.1245994568;-123.2119979858;374
EVV;Evansville, IN;Evansville Regional Airport;38.0369987488;-87.5324020386;418
EVW;Evanston, WY;Evanston-Uinta County Airport-Burns Field;41.27479935;-111.0350037;7143
EWB;New Bedford, MA;New Bedford Regional Airport;41.6761016846;-70.9569015503;80
EWN;New Bern, NC;Coastal Carolina Regional Airport;35.0730018616;-77.0429000854;18
EYW;Key West, FL;Key West International Airport;24.556101;-81.759598;3
FAF;Fort Eustis, VA;Felker Army Air Field;37.1324996948;-76.6088027954;12
FAR;Fargo, ND;Hector International Airport;46.9207000732;-96.8158035278;902
FAT;Fresno, CA;Fresno Yosemite International Airport;36.776199;-119.718002;336
FAY;Fayetteville, NC;Fayetteville Regional Airport - Grannis Field;34.991199;-78.880302;189
FBG;Fort Bragg, NC;Simmons Army Air Field;35.13180161;-78.93669891;244
FBK;Fairbanks/Ft Wainwright, AK;Ladd AAF Airfield;64.83750153;-147.6139984;454
FCA;Kalispell, MT;Glacier Park International Airport;48.3105010986;-114.2559967041;2977
FCS;Fort Carson, CO;Butts AAF (Fort Carson) Air Field;38.67839813;-104.7570038;5838
FDY;Findlay, OH;Findlay Airport;41.0135002136;-83.6687011719;813
FHU;Fort Huachuca / Sierra Vista, AZ;Sierra Vista Municipal Airport / Libby Army Air Field;31.587383;-110.348225;4719
FKL;Franklin, PA;Venango Regional Airport;41.3778991699;-79.8603973389;1540
FLO;Florence, SC;Florence Regional Airport;34.1853981018;-79.7238998413;146
FME;Fort Meade(Odenton), MD;Tipton Airport;39.0853996277;-76.7593994141;150
FMN;Farmington, NM;Four Corners Regional Airport;36.741199;-108.230003;5506
FMY;Fort Myers, FL;Page Field;26.58659935;-81.8632965088;17
FNT;Flint, MI;Bishop International Airport;42.9654006958;-83.743598938;782
FOD;Fort Dodge, IA;Fort Dodge Regional Airport;42.55149841;-94.19259644;1156
FOE;Topeka, KS;Topeka Regional Airport;38.950901;-95.663597;1078
FPR;Fort Pierce, FL;St Lucie County International Airport;27.49510002;-80.36830139;24
FRG;Farmingdale, NY;Republic Airport;40.7288017273;-73.4133987427;82
FRI;Fort Riley (Junction City), KS;Marshall Army Air Field;39.053021;-96.764202;1065
FSD;Sioux Falls, SD;Sioux Falls Regional Airport / Joe Foss Field;43.585463;-96.741152;1429
FSI;Fort Sill, OK;Henry Post Army Air Field (Fort Sill);34.64979935;-98.40219879;1189
FST;Fort Stockton, TX;Fort Stockton Pecos County Airport;30.9157009125;-102.916000366;3011
FTK;Fort Knox, KY;Godman Army Air Field;37.9071006775;-85.9720993042;756
FTY;Atlanta, GA;Fulton County Airport Brown Field;33.7790985107;-84.5214004517;841
FWH;Fort Worth, TX;NAS Fort Worth JRB / Carswell Field;32.769199;-97.441498;650
FXE;Fort Lauderdale, FL;Fort Lauderdale Executive Airport;26.1972999573;-80.1707000732;13
FYU;Fort Yukon, AK;Fort Yukon Airport;66.5715026855;-145.25;433
FYV;Fayetteville, AR;Drake Field;36.0051002502;-94.1700973511;1251
GAL;Galena, AK;Edward G. Pitka Sr Airport;64.73619843;-156.9369965;153
GAM;Gambell, AK;Gambell Airport;63.7667999268;-171.733001709;27
GCC;Gillette, WY;Gillette Campbell County Airport;44.3488998413;-105.539001465;4365
GCK;Garden City, KS;Garden City Regional Airport;37.9275016785;-100.723999023;2891
GCN;Grand Canyon - Tusayan, AZ;Grand Canyon National Park Airport;35.9524;-112.147003;6609
GDV;Glendive, MT;Dawson Community Airport;47.13869858;-104.8069992;2458
